lyric,artist
horse i got the trunk in the front vroom vroom i'm the hottest in the street know you prolly heard of me got a bag,Cardi B
and fixed my teeth hope you hoes know it ain't cheap and i pay my mama bills i ain't got no time to chill think,Cardi B
these hoes be mad at me their baby father run a bill said lil' bitch you can't fuck with me if you wanted to these,Cardi B
expensive these is red bottoms these is bloody shoes hit the store i can get 'em both i don't wanna choose and i'm quick cut,Cardi B
a nigga off so don't get comfortable look i don't dance now i make money moves say i don't gotta dance i make money moves,Cardi B
if i see you and i don't speak that means i don't fuck with you i'm a boss you a worker bitch i make bloody,Cardi B
moves if you a pussy you get popped you a goofy you a opp don't you come around my way you can't hang around my,Cardi B
block and i just checked my accounts turns out i'm rich i'm rich i'm rich i put my hand above my hip i bet you,Cardi B
dip he dip she dip i say i get the money and go this shit is hot like a stove my pussy glitter is gold,Cardi B
tell that lil' bitch play her role i just arrive in a rolls i just came up in a wraith i need to fill up,Cardi B
the tank no i need to fill up the safe i need to let all these hoes know that none of their niggas is safe,Cardi B
i go to dinner and steak only the real can relate i used to live in the p's now it's a crib with a gate,Cardi B
rollie got charms look like frosted flakes had to let these bitches know just in case these hoes forgot i just run and check the,Cardi B
mail another check from mona scott said lil' bitch you can't fuck with me if you wanted to these expensive these is red bottoms these,Cardi B
is bloody shoes hit the store i can get 'em both i don't wanna choose and i'm quick cut a nigga off so don't get,Cardi B
comfortable look i don't dance now i make money moves say i don't gotta dance i make money move if i see you and i,Cardi B
don't speak that means i don't fuck with you i'm a boss you a worker bitch i make bloody moves,Cardi B
cardi b savage bardi in a 'rari diamonds all over my body 0 you a fool for this one shinin' all over my body bardi,Cardi B
put that lil' bitch on molly bardi bitch on molly cheeze diamonds all over my body fucked that bitch on molly ksr ask him if,Cardi B
i'm 'bout it cardi b savage your bitch wanna party with cardi cartier bardi in a 'rari diamonds all over my body cardi shinin' all,Cardi B
over my body my body cardi got your bitch on molly bitch you ain't gang you lame bentley truck lane to lane blow out the,Cardi B
brain i go insane insane i drop a check on the chain fuck up a check in the flame cardi took your man you upset,Cardi B
uh cardi got rich they upset yeah from what cardi put the pussy on offset say what cartier cardi b brain on offset cardi took,Cardi B
your man you upset uh cardi got rich they upset yeah cardi put the pussy on offset cardi cartier cardi b brain on offset who's,Cardi B
cardi cardi b who get this motherfucker started cardi who took your bitch out to party cardi i took your bitch and departed cardi who,Cardi B
that be fly as a martian cardi who that on fleek in the cut cardi who got the bricks in the truck cardi them diamonds,Cardi B
gon' hit like a bitch on a bitchy ass bitch bitch you a wannabe cardi red bottom mj moonwalk on a bitch moonwalkin' through your,Cardi B
clique i'm moonwalkin' in the 6 sticky with the kick moonrocks in this bitch i'm from the motherfuckin' bronx bronx i keep the pump in,Cardi B
the trunk trunk bitch if you bad then jump jump might leave your bitch in a slump your back cardi b savage your bitch wanna,Cardi B
party with cardi cartier bardi in a 'rari diamonds all over my body cardi shinin' all over my body my body cardi got your bitch,Cardi B
on molly bitch you ain't gang you lame bentley truck lane to lane blow out the brain i go insane insane i drop a check,Cardi B
on the chain fuck up a check in the flame cardi took your man you upset uh cardi got rich they upset yeah from what,Cardi B
cardi put the pussy on offset say what cartier cardi b brain on offset cardi took your man you upset uh cardi got rich they,Cardi B
upset yeah cardi put the pussy on offset cardi cartier cardi b brain on offset savage your bitch wanna party with a savage saint laurent,Cardi B
savage in an aston yeah high end cars and fashion i don't eat pussy i'm fastin' on god i'm a blood my brother crippin' bitch,Cardi B
i'm drippin' ho you trippin' told the waitress i ain't tippin' i like hot sauce on my chicken on god i pulled the rubber off,Cardi B
and i put hot sauce on her titties i'm in a bentley truck she keep on suckin' like it's tinted all these vvss nigga my,Cardi B
sperm worth millions on god the bitch so bad i popped a molly 'fore i hit it cardi b savage your bitch wanna party with,Cardi B
cardi cartier bardi in a 'rari diamonds all over my body cardi shinin' all over my body my body cardi got your bitch on molly,Cardi B
bitch you ain't gang you lame bentley truck lane to lane blow out the brain i go insane insane i drop a check on the,Cardi B
chain fuck up a check in the flame cardi took your man you upset uh cardi got rich they upset yeah from what cardi put,Cardi B
the pussy on offset say what cartier cardi b brain on offset cardi took your man you upset uh cardi got rich they upset yeah,Cardi B
cardi put the pussy on offset cardi cartier cardi b brain on offset who's cardi cardi b step in this bitch in givenchy cash fuck,Cardi B
up a check in givenchy cash boss out the coupe and them inches i fuck up a bag at the fendi i fuck up a,Cardi B
bag in a minute who you know drip like this who you know built like this i'm poppin' shit like a dude pull up to,Cardi B
pop at your crew brrrt poppin' at you woo they say you basic i flooded the rollie with diamonds i flooded the patek and bracelet,Cardi B
i got your bitch and she naked ice on the cake when i bake it i'm switchin' lanes in the range swap out the dick,Cardi B
for the brain swap out your bitch for your main swap out the trap for the fame ice on them cardi b cartier frames bitch,Cardi B
cardi b savage your bitch wanna party with cardi cartier bardi in a 'rari diamonds all over my body cardi shinin' all over my body,Cardi B
my body cardi got your bitch on molly bitch you ain't gang you lame bentley truck lane to lane blow out the brain i go,Cardi B
insane insane i drop a check on the chain fuck up a check in the flame cardi took your man you upset uh cardi got,Cardi B
rich they upset yeah from what cardi put the pussy on offset say what cartier cardi b brain on offset cardi took your man you,Cardi B
upset uh cardi got rich they upset yeah cardi put the pussy on offset cardi cartier cardi b brain on offset who's cardi,Cardi B
yeah care for me care for me care for me uh yeah look i wanna get married like the currys steph and ayesha shit but,Cardi B
we more like bellytommy and keisha shit gave you tlc you wanna creep and shit poured out my whole heart to a piece of shit,Cardi B
man i thought you would've learned your lesson 'bout likin' pictures not returnin' texts i guess it's fine man i get the message you still,Cardi B
stutter after certain questions you keep in contact with certain exes do you though trust me nigga it's cool though said that you was workin',Cardi B
but you out here chasin' culo and putas chillin' poolside livin' two lives i could've did what you did to me to you a few,Cardi B
times but if i did decide to slide find a nigga fuck him suck his dick you would've been pissed but that's not my mo,Cardi B
i'm not that type of bitch and karma for you is gon' be who you end up with you make me sick nigga the only,Cardi B
man baby i adore i gave you everything what's mine is yours i want you to live your life of course but i hope you,Cardi B
get what you dyin' for be careful with me do you know what you doin' whose feelings that you're hurtin' and bruisin' you gon' gain,Cardi B
the whole world but is it worth the girl that you're losin' be careful with me yeah it's not a threat it's a warnin' be,Cardi B
careful with me yeah my heart is like a package with a fragile label on it be careful with me care for me care for,Cardi B
me always said that you'd be there for me there for me boy you better treat me carefully carefully look i was here before all,Cardi B
of this guess you actin' out now you got an audience tell me where your mind is drop a pin what's the coordinates you might,Cardi B
have a fortune but you lose me you still gon' be misfortunate nigga tell me this lust got you this fucked up in the head,Cardi B
you want some random bitch up in your bed she don't even know your middle name watch her 'cause she might steal your chain you,Cardi B
don't want someone who loves you instead i guess not though it's blatant disrespect you nothin' like the nigga i met talk to me crazy,Cardi B
and you quick to forget you even got me trippin' you got me lookin' in the mirror different thinkin' i'm flawed because you inconsistent between,Cardi B
a rock and a hard place the mud and the dirt it's gon' hurt me to hate you but lovin' you's worse it all stops,Cardi B
so abrupt we started switchin' it up teach me to be like you so i can not give a fuck free to mess with someone,Cardi B
else i wish these feelings could melt 'cause you don't care about a thing except your mothafuckin' self you make me sick nigga the only,Cardi B
man baby i adore i gave you everything what's mine is yours i want you to live your life of course but i hope you,Cardi B
get what you dyin' for be careful with me do you know what you doin' whose feelings that you're hurtin' and bruisin' you gon' gain,Cardi B
the whole world but is it worth the girl that you're losin' be careful with me yeah it's not a threat it's a warnin' be,Cardi B
careful with me yeah my heart is like a package with a fragile label on it be careful with me,Cardi B
look my bitches all bad my niggas all real i ride on his dick in some big tall heels big fat checks big large bills,Cardi B
front i'll flip like ten cartwheels cold ass bitch i give broads chills ten different looks and my looks all kill i kiss him in,Cardi B
the mouth i feel all grills he eat in the car that's meals on wheels woo i was born to flex yes diamonds on my,Cardi B
neck i like boardin' jets i like mornin' sex woo but nothing in this world that i like more than checks money all i really,Cardi B
wanna see is the money i don't really need the d i need the money all a bad bitch need is the money flow i,Cardi B
got bands in the coupe coupe bustin' out the roof i got bands in the coupe coupe touch me i'll shoot bow shake a lil,Cardi B
ass money get a little bag and take it to the store store money get a little cash money shake it real fast and get,Cardi B
a little more money i got bands in the coupe coupe bustin' out the roof i got bands in the coupe brrr bustin' out the,Cardi B
roof cardi i gotta fly i need a jet shit i need room for my legs i got a baby i need some money yeah,Cardi B
i need cheese for my egg all y'all bitches in trouble bring brass knuckles to the scuffle i heard that cardi went pop yeah i,Cardi B
did go pop pop that's me bustin' they bubble i'm dasani with the drip baby mommy with the clip walk out follie's with a bitch,Cardi B
bring a thottie to the whip if she fine or she thick goddamn walkin' past the mirror ooh damn i'm fine fine let a bitch,Cardi B
try me boom boom hammer time uh i was born to flex yes diamonds on my neck i like boardin' jets i like mornin' sex,Cardi B
woo but nothing in this world that i like more than checks money all i really wanna see is the money i don't really need,Cardi B
the d i need the money all a bad bitch need is the money flow i got bands in the coupe coupe bustin' out the,Cardi B
roof i got bands in the coupe coupe touch me i'll shoot bow shake a lil ass money get a little bag and take it,Cardi B
to the store store money get a little cash money shake it real fast and get a little more money i got bands in the,Cardi B
coupe coupe bustin' out the roof i got bands in the coupe brrr touch me i'll shoot bow bitch i will pop on your pops,Cardi B
your pops bitch i will pop on whoever brrr you know who pop the most shit who the people whose shit not together okay you'da,Cardi B
bet cardi a freak freak all my pajamas is leather uh bitch i will black on your ass yeah wakanda forever sweet like a honey,Cardi B
bun spit like a tommy gun rollie a one of one come get your mommy some cardi at the tiptop bitch kiss the ring and,Cardi B
kick rocks sis mwah jump it down back it up ooh ayy make that nigga put down k i like my niggas dark like d'ussé,Cardi B
he gonna eat this ass like soufflé i was born to flex diamonds on my neck i like boardin' jets i like mornin' sex but,Cardi B
nothing in this world that i like more than kulture kulture kulture kulture all i really wanna see is the money i don't really need,Cardi B
the d i need the money all a bad bitch need is the kkc woo money money money money money money money money,Cardi B
monsta's gon' tear it up bardi woo yeah bitches be pressed woo bitches be pressed pressed woo yeah yeah woo bitches be pressed pressed they,Cardi B
knew how i'm coming real bitch in the flesh woo who the fuck she gon' check who she be talking that shit talkin' out of,Cardi B
her neck brr put blood on her dress woo bitches be mad when they see cardi step in the spot woah said that you 'bout,Cardi B
it we know that you not i'ma pull up on bitches as soon as i drop bought a new foreign i might cop a yacht,Cardi B
skrrt bitches in my business they tryna plot woo hoes poppin' shit like they hot but they not no just flooded the wrist the patek,Cardi B
the watch woah niggas be flexing we know what you got cardi done had got the game in a knot fuckin' your nigga i got,Cardi B
him on lock this go bang bang like i'm choppin' them chops vvs chain i'm in love with the rocks woah you said you gon',Cardi B
take it bitch you got me chopped woah they throwin' shade 'cause they see me on top tell that bitch to pull up i'ma send,Cardi B
you the drop press press press press press cardi don't need more press kill 'em all put them hoes to rest walk in bulletproof vest,Cardi B
please tell me who she gon' check murder scene cardi made a mess pop up guess who bitch pop up guess who bitch ding dong,Cardi B
must be that whip that i ordered and a new crib for my daughter you know a bad bitch gon' spoil her got one in,Cardi B
new york need one in georgia yeah new bentley truck cost a quarter quarter my money still long like weave woo pussy still wet like,Cardi B
florida woo everyone drop on the floor she was talkin' but not anymore no mac to your face like contour brr this chopper come straight,Cardi B
from dior done with the talkin' i'm open to violence ask anybody they know i'm about it hashtag whip that ho ass fuck around we,Cardi B
gon' start a new challenge woo i come in this bitch and i'm strapped up and ready ridin' that dick like i'm cardi andretti fuck,Cardi B
at your crib we don't go to no 'telly i sit on his face whenever i'm ready woo bitch i'm a freak like greek like,Cardi B
greek got the biggest house on my street my street all you little hoes look cheap look cheap they suckin' on my dick with no,Cardi B
teeth press press press press press cardi don't need more press kill 'em all put them hoes to rest walk in bulletproof vest please tell,Cardi B
me who she gon' check murder scene cardi made a mess pop up guess who bitch pop up guess who bitch press press press press,Cardi B
press press press press press press press press pop up guess who bitch pop up guess who bitch,Cardi B
mmmmurda sza left a nigga on read 'cause i felt like it dress me down in that raf saint laurent jacket dapper dapper i look,Cardi B
fine and my checks divine no wonder wonder why i do whatever i like i do what i like i do i do i do,Cardi B
what i like i do i do i do what i like i do i do i do what i like i do i do,Cardi B
cardi b i think us bad bitches is a gift from god gift from god i think you broke hoes need to get a job,Cardi B
get a job now i'm a boss i write my own name on the checks cardi pussy so good i say my own name during,Cardi B
sex i might smack a bitch 'cause i felt like it gucci shoes and a belt like it said that cardi is his favorite fragrance,Cardi B
i'm a rich bitch and i smell like it i'm in a boss bitch mood ayy these heels are givenchy ho these are some boss,Cardi B
bitch shoes if you ain't no boss bitch move ayy for the record i set record record sales i like niggas that been in and,Cardi B
outta jail they said by now that i'll be finished hard to tell i can tell my little fifteen minutes lasting long as hell huh,Cardi B
sza left a nigga on read 'cause i felt like it dress me down in that raf saint laurent jacket dapper dapper i look fine,Cardi B
and my checks divine no wonder wonder why i do whatever i like i do what i like i do i do i do what,Cardi B
i like i do i do i do what i like i do i do i do what i like i do i do cardi,Cardi B
b look broke hoes do what they can can good girls do what they told told bad bitches do what they want they want that's,Cardi B
why a bitch is so cold i'm a gangsta in a dress i'm a bully in the bed only time that i'm a lady's when,Cardi B
i lay these hoes to rest the coupe is roofless but i get top in it i'm provocative it's my prerogative 80k just to know,Cardi B
what time is it cardi rockin' it go buy stock in it spend what i want ain't no limit i say what i want i,Cardi B
ain't never been timid only real shit comes out my mouth and only real niggas go in it leave his texts on read leave his,Cardi B
balls on blue put it on airplane mode so none of those calls come through here's a word to my ladies don't you give these,Cardi B
niggas none give 'em none if they can't make you richer they can't make you cum egh sza i left a nigga on read 'cause,Cardi B
i felt like it dress me down in that raf saint laurent jacket dapper dapper i look fine and my checks divine no wonder wonder,Cardi B
why i do whatever i like i do what i like i do i do i do what i like i do i do i,Cardi B
do what i like i do i do i do what i like i do i do,Cardi B
cardi b look i just want to break up all your shit call your mama phone let her know that she raised a bitch then,Cardi B
dial tone click and fuck your little fake ass friends come around actin' like they my bros i seen y'all little group texts where you,Cardi B
all like to brag about your hoes and you can tell your little bitch i screenshotted all her naked pics oh you wanna send nudes,Cardi B
to my man wake up and see your boobs on the 'gram lil' bitch i cannot stand you right hand to jesus i might just,Cardi B
cut all the tongues out your sneakers smash your tv from best buy you gon' turn me into left eye i don't wanna hear 'bout,Cardi B
invasion of privacy i had a feeling it turns out you lie to me i'm holdin' back everything that's inside of me how you out,Cardi B
fuckin' with bitches that follow me pre ali tamposi cardi b my heart is beating like it's bleeding out you sleepin' you sleepin' you sleepin',Cardi B
you sleeping like a baby everyone was right about you now and you creepin' you creepin' you creepin' ali tamposi cardi b i went through,Cardi B
your phone last night i went through your phone last night saw some things i didn't like i went through your phone last night it's,Cardi B
killin' me killin' me killin' me oh cardi b all i can see is you and her in different scenarios beyoncé on my stereo resentment,Cardi B
on repeat i'ma make your bowl of cereal with a teaspoon of bleach serve it to you like here you go nigga bon appétit look,Cardi B
did you give it to her raw you love her or nah you risk your whole home for a ho from the bar you really,Cardi B
want them hoes you can have them bitches you don't even cheat with no badder bitches this shit is eatin' me you sleepin' peacefully gettin',Cardi B
more mad at you thinkin' 'bout stabbin' you don't even know that you this close to dyin' you gon' wake up like why you got,Cardi B
an attitude pre ali tamposi cardi b my heart is beating like it's bleeding out you sleepin' you sleepin' you sleepin' you sleeping like a,Cardi B
baby everyone was right about you now and you creepin' you creepin' you creepin' ali tamposi cardi b i went through your phone last night,Cardi B
i went through your phone last night saw some things i didn't like i went through your phone last night it's killin' me killin' me,Cardi B
killin' me oh ali tamposi cardi b it's killin' me it's killin' me killin' me killin' me oh it's killin' me it's killin' me killin',Cardi B
me killin' me oh it's killin' me it's killin' me killin' me killin' me oh it's killin' me ali tamposi cardi b i went through,Cardi B
your phone last night i went through your phone last night saw some things i didn't like i went through your phone last night it's,Cardi B
killin' me killin' me killin' me oh,Cardi B
cardi b that boy cassius cardi nnnonstop cardi b offset came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip,Cardi B
diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my,Cardi B
wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin',Cardi B
ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice cardi b,Cardi B
give me little something to remember cardi tryna make love in a sprinter yeah quick to drop a nigga like kemba go lookin' like a,Cardi B
right swipe on tinder woo shit on these hoes shit light up my wrist on these hoes wrist now i look down on these bitches,Cardi B
down i feel like i'm on stilts on these hoes woo fuck ya' baby daddy right now right now anna mae got cake by the,Cardi B
pound pound go down eat it up don't drown mac n' cheese in the bowl how it sound sound i got that gushy yeah that's,Cardi B
a fact but i never been pussy i've been that bitch since pajamas with footies won mvp and i'm still a rookie like woo i,Cardi B
gotta work on my anger ayy might kill a bitch with my fingers ayy i gotta stay outta gucci woo i'm finna run outta hangers,Cardi B
woo is she a stripper a rapper or a singer i'm busting bucks in a bentley bentayga ride through your hood like bitch i'm the,Cardi B
mayor you not my bitch then bitch you in danger cardi b offset came through drippin' drip drip came through drippin' drip drip came through,Cardi B
drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip,Cardi B
diamonds on my wrist they drippin' ice refrain offset bitch you a thot ain't trickin' thot thot put her on her knee make her lick,Cardi B
it lick it patek on my wrist and it's glistenin' drip drip the bitch got mad i dissed her hey offset shawty you ain't nothin',Cardi B
to a rich nigga nothin' i'll put a check on a bitch nigga brrt fuck your whole set and your clique nigga fuck 'em got,Cardi B
a gang full of dud and some broke niggas dud diamonds on me what's the price price i'm not gettin' involved with the hype hype,Cardi B
i'm too rich to get into a fight too rich 50 racks got my jeans fittin' tight 50 racks pay the price and them boys,Cardi B
come and wipe ya' wipe ya' we had to dispose of the diaper dispose yeah we trap every week every night whoa word my move,Cardi B
we too smooth no indictments hey yeah freakazoid lightnin' lightnin' 57 90 in this breitling breit' when i got a mil i got excited million,Cardi B
for the cash i'ma turn to michael myers baguettes keep dripping droppin' drip my wrist all liquid watches watch told the bitch jump on my,Cardi B
dick and pop it yeah get a little bitch a deposit hey brrt cardi b came through drippin' drip drip came through drippin' drip drip,Cardi B
came through drippin' drip drip diamonds on my wrist they drippin' ice refrain offset bitch you a thot ain't trickin' thot thot put her on,Cardi B
her knee make her lick it lick it patek on my wrist and it's glistenin' uh drip drip the bitch got mad i dissed her,Cardi B
hey takeoff taketakeoff came through drippin' drippin' i ain't never slippin' i'm a pimp pimp fuckin' with a quarter million nigga what a feelin' feelin',Cardi B
abort the mission nigga they be tellin' off and squealin' squealin' splash took a bitch to piccadilly splash water in my ear gave a nigga,Cardi B
wet willy wet willy came through drippin' spillin' walkin' with the bag bag tryna get my niggas all a milli stack it to the ceilin',Cardi B
ceilin' shootin' at civilians 'villians i'm the one dealin' i could make a killin' killin' bags can you smell it when i vacseal it uh,Cardi B
flag nigga throw it up don't care about your feelings fuck 'em ooh what is this what you wearin' i be drippin' what cal ripken's,Cardi B
hit a nigga ken griffey home run the bitch got thick so i guess she ate jiffy when she leave with me i'ma fly her,Cardi B
back to the city for sure 4 quavo go get the bag on the day off tacks go get the rings out the playoffs rings,Cardi B
pots in the beat it's a bake off packs fuck on her then she get laid off smash big boy tools maaco big boy make,Cardi B
a bitch dance with a draco dance walkin' with the cheese that queso cheese that's huncho fuck the rodeo huncho private jet we don't do,Cardi B
layover whew one call i'm havin' your bae over brrt walk out the spot with a makeover woo got her addicted to payola addicted hey,Cardi B
cardi b offset came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice,Cardi B
came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin',Cardi B
drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came,Cardi B
through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice,Cardi B
kehlani ooh ooh ring ring ring ring kehlani you don't hit my line no more oh oh you don't make it ring ring ring ring,Cardi B
i can't keep this on the low i want you to make it ring ring ring ring cardi b should i call first i can't,Cardi B
decide i want to but a bitch got pride the switchin' up shit is what i can't fuck with i'm feelin' you but you hard,Cardi B
to get in touch with and you ain't hit me up in a while actin' like you don't know what number to dial you quit,Cardi B
then that's it i'ma throw in the towel 'cause a nigga only gon' do what you allow you don't want this gun smoke learn to,Cardi B
text with your nose if your thumb broke i don't care if we get into it and i stall on your ass better still wake,Cardi B
up to missed calls from your ass nigga kehlani you don't hit my line no more oh oh you don't make it ring ring ring,Cardi B
ring i can't keep this on the low i want you to make it ring ring ring ring cardi b nah nigga now you gon',Cardi B
have to call me call me 'cause i'm lookin' at these messages they on me yeah actin' like they ain't niggas that want me let,Cardi B
another nigga in your spot and you gon' be hot nigga coffee you gon' be sick to your stomach hit me when you free 800,Cardi B
it's emergency call me 9 'cause right now i'm out here tryna find someone the ring on my phone ring on my finger brrr you,Cardi B
actin' like you ain't tryna do either yeah once a good girl watch me turn diva here goes my heart i put it on speaker,Cardi B
oh kehlani you don't hit my line no more oh oh you don't make it ring ring ring ring i can't keep this on the,Cardi B
low i want you to make it ring ring ring ring kehlani you used to be on my line on my tick all the time,Cardi B
yeah love it when you make me feel like you don't mind when i ain't got time for you and no it don't go to,Cardi B
my head i'm only arrogant in bed i just love to know you wanna spend time with me instead now you all caught up yeah,Cardi B
you all caught up and you done left me alone yeah you was all fed up ready for the next step wanna be on your,Cardi B
own said i just miss you i just miss us baby all i know is kehlani you don't hit my line no more oh oh,Cardi B
you don't make it ring ring ring ring you don't make it ring baby i can't keep this on the low yeah yeah oh i,Cardi B
want you to make it ring ring ring ring,Cardi B
verse look they gave a bitch two options strippin' or lose used to dance in a club right across from my school i said dance,Cardi B
not fuck don't get it confused had to set the record straight 'cause bitches love to assume mama couldn't give it to me had to,Cardi B
get it at sue's lord only knows how i got in those shoes i was covered in dollars now i'm drippin' in jewels a bitch,Cardi B
play with my money might as well spit in my food bitches hated my guts now they swear we was cool went from makin' tuna,Cardi B
sandwiches to makin' the news i started speakin' my mind and tripled my views real bitch only thing fake is the boobs get money go,Cardi B
hard you're mothafuckin' right never been a fraud in my mothafuckin' life get money go hard damn fuckin' right stunting on these bitches out of,Cardi B
mothafuckin' spite ain't no runnin' up on me went from nothin' to glory i ain't tellin' y'all to do it i'm just tellin' my story,Cardi B
i don't hang with these bitches 'cause these bitches be corny and i got enough bras y'all ain't gotta support me i went from rag,Cardi B
to riches went from wic to lit nigga only person in my fam to see six figures the pressure on your shoulders feel like boulders,Cardi B
when you gotta make sure that everybody straight bitches stab you in your back while they smilin' in your face talking crazy on your name,Cardi B
trying not to catch a case i waited my whole life just to shit on niggas climbed to the top floor so i can spit,Cardi B
on niggas said i was just tryna chill and make bangers bangers tell all these old bitches they in danger stop the thing on my,Cardi B
hip whip bitches into shape brrrt that's what i call a fuckin' waist trainer you gon' run up on who and do what who i,Cardi B
think y'all got your story screwed up yeah i came here to ball is you nuts i don't want your punkass man i'm too tough,Cardi B
facts i'm the one that's killin' shit hands down hands down if you got a problem with me say it now say it 'cause i,Cardi B
don't wanna hear no sneak dissin' huh 'specially not from one you weak bitches i'm on go like i don't see no stop lights skrrt,Cardi B
i'm steppin' out every day prom night facts so if it's all love show me love then huh 'cause you hatin' on a bitch that's,Cardi B
what it sounds like beast mode that's how i give it up nigga hoodie low that's how i'm pullin' up just 'cause i been on,Cardi B
the road don't mean i been on the run and you gon' have to learn to hold your tongue or hold the gun brrrt woo,Cardi B
and we all know you ain't that type no i smack you and the bitch that you act like yeah i started gettin' money bitches,Cardi B
upset cash they remind me of my pussy bitches mad tight nails done hair laid keep 'em both laced laced cocome through shinin' with a,Cardi B
rollie bust face shine heheadshot headshot tell 'em closed case ain't no bitch spittin' like this since '08 i don't trust no nigga i don't,Cardi B
fear no bitch fear no bitch whole life been through some fucked up shit fucked up shit they say i'm too that oh i'm too,Cardi B
